match_id,kick_off,team_home,team_away,score_home_full,score_away_full,score_home_half,score_away_half
S2425_GD1_G1,2024-08-23,Bor. Mönchengladbach,Bayer 04 Leverkusen,2.0,3.0,0.0,2.0
S2425_GD1_G2,2024-08-24,RB Leipzig,VfL Bochum,1.0,0.0,0.0,0.0
S2425_GD1_G3,2024-08-24,TSG Hoffenheim,Holstein Kiel,3.0,2.0,2.0,0.0
S2425_GD1_G4,2024-08-24,SC Freiburg,VfB Stuttgart,3.0,1.0,1.0,1.0
S2425_GD1_G5,2024-08-24,FC Augsburg,Werder Bremen,2.0,2.0,2.0,1.0
S2425_GD1_G6,2024-08-24,1. FSV Mainz 05,1. FC Union Berlin,1.0,1.0,0.0,0.0
S2425_GD1_G7,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,2.0,0.0,0.0,0.0
S2425_GD1_G8,2024-08-25,VfL Wolfsburg,Bayern München,2.0,3.0,0.0,1.0
S2425_GD1_G9,2024-08-25,FC St. Pauli,1. FC Heidenheim,0.0,2.0,0.0,0.0
S2425_GD2_G1,2024-08-30,1. FC Union Berlin,FC St. Pauli,1.0,0.0,1.0,0.0
S2425_GD2_G2,2024-08-31,VfB Stuttgart,1. FSV Mainz 05,3.0,3.0,2.0,1.0
S2425_GD2_G3,2024-08-31,Eintracht Frankfurt,TSG Hoffenheim,3.0,1.0,2.0,0.0
S2425_GD2_G4,2024-08-31,Werder Bremen,Borussia Dortmund,0.0,0.0,0.0,0.0
S2425_GD2_G5,2024-08-31,VfL Bochum,Bor. Mönchengladbach,0.0,2.0,0.0,0.0
S2425_GD2_G6,2024-08-31,Holstein Kiel,VfL Wolfsburg,0.0,2.0,0.0,2.0
S2425_GD2_G7,2024-08-31,Bayer 04 Leverkusen,RB Leipzig,2.0,3.0,2.0,1.0
S2425_GD2_G8,2024-09-01,1. FC Heidenheim,FC Augsburg,4.0,0.0,2.0,0.0
S2425_GD2_G9,2024-09-01,Bayern München,SC Freiburg,2.0,0.0,1.0,0.0
S2425_GD3_G1,2024-09-13,Borussia Dortmund,1. FC Heidenheim,4.0,2.0,3.0,1.0
S2425_GD3_G2,2024-09-14,RB Leipzig,1. FC Union Berlin,0.0,0.0,0.0,0.0
S2425_GD3_G3,2024-09-14,TSG Hoffenheim,Bayer 04 Leverkusen,1.0,4.0,1.0,2.0
S2425_GD3_G4,2024-09-14,SC Freiburg,VfL Bochum,2.0,1.0,0.0,1.0
S2425_GD3_G5,2024-09-14,VfL Wolfsburg,Eintracht Frankfurt,1.0,2.0,0.0,1.0
S2425_GD3_G6,2024-09-14,Bor. Mönchengladbach,VfB Stuttgart,1.0,3.0,1.0,1.0
S2425_GD3_G7,2024-09-14,Holstein Kiel,Bayern München,1.0,6.0,0.0,4.0
S2425_GD3_G8,2024-09-15,FC Augsburg,FC St. Pauli,3.0,1.0,0.0,0.0
S2425_GD3_G9,2024-09-15,1. FSV Mainz 05,Werder Bremen,1.0,2.0,1.0,1.0
S2425_GD4_G1,2024-09-20,FC Augsburg,1. FSV Mainz 05,2.0,3.0,1.0,2.0
